"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",94149,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",84346,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",91803,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",78920,Not Applicable,Not Applicable
,"May, 1999","1999/05",75996,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",70844,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",73314,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",70573,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",70135,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",77264,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",76251,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",90744,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",99360,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",81001,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",80038,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",75220,Not Applicable,Not Applicable
,"May, 2000","2000/05",75624,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",70425,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",72224,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",72023,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",71790,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",77215,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",78596,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",88010,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",89991,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",77922,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",84643,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",78536,Not Applicable,Not Applicable
,"May, 2001","2001/05",77018,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",72745,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",72109,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",71377,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",69970,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",76490,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",74667,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",81531,Not Applicable,Not Applicable
,"Jan., 2002","2002/01",88174,Not Applicable,Not Applicable
,"Feb., 2002","2002/02",81230,Not Applicable,Not Applicable
,"Mar., 2002","2002/03",86394,Not Applicable,Not Applicable
,"Apr., 2002","2002/04",75782,Not Applicable,Not Applicable
,"May, 2002","2002/05",75232,Not Applicable,Not Applicable
,"Jun., 2002","2002/06",69992,Not Applicable,Not Applicable
,"Jul., 2002","2002/07",71705,Not Applicable,Not Applicable
,"Aug., 2002","2002/08",70098,Not Applicable,Not Applicable
,"Sep., 2002","2002/09",69024,Not Applicable,Not Applicable
,"Oct., 2002","2002/10",74523,Not Applicable,Not Applicable
,"Nov., 2002","2002/11",76638,Not Applicable,Not Applicable
,"Dec., 2002","2002/12",84547,Not Applicable,Not Applicable
,"Jan., 2003","2003/01",85716,Not Applicable,Not Applicable
,"Feb., 2003","2003/02",76439,Not Applicable,Not Applicable
,"Mar., 2003","2003/03",80470,Not Applicable,Not Applicable
,"Apr., 2003","2003/04",74429,Not Applicable,Not Applicable
,"May, 2003","2003/05",73870,Not Applicable,Not Applicable
,"Jun., 2003","2003/06",70261,Not Applicable,Not Applicable
,"Jul., 2003","2003/07",70144,Not Applicable,Not Applicable
,"Aug., 2003","2003/08",69304,Not Applicable,Not Applicable
,"Sep., 2003","2003/09",68057,Not Applicable,Not Applicable
,"Oct., 2003","2003/10",74012,Not Applicable,Not Applicable
,"Nov., 2003","2003/11",73910,Not Applicable,Not Applicable
,"Dec., 2003","2003/12",90568,Not Applicable,Not Applicable
,"Jan., 2004","2004/01",87865,Not Applicable,Not Applicable
,"Feb., 2004","2004/02",75728,Not Applicable,Not Applicable
,"Mar., 2004","2004/03",76756,Not Applicable,Not Applicable
,"Apr., 2004","2004/04",71626,Not Applicable,Not Applicable
,"May, 2004","2004/05",70216,Not Applicable,Not Applicable
,"Jun., 2004","2004/06",66446,Not Applicable,Not Applicable
,"Jul., 2004","2004/07",67388,Not Applicable,Not Applicable
,"Aug., 2004","2004/08",66655,Not Applicable,Not Applicable
,"Sep., 2004","2004/09",64926,Not Applicable,Not Applicable
,"Oct., 2004","2004/10",70521,Not Applicable,Not Applicable
,"Nov., 2004","2004/11",70277,Not Applicable,Not Applicable
,"Dec., 2004","2004/12",77459,Not Applicable,Not Applicable
,"Jan., 2005","2005/01",82753,Not Applicable,Not Applicable
,"Feb., 2005","2005/02",76692,Not Applicable,Not Applicable
,"Mar., 2005","2005/03",82951,Not Applicable,Not Applicable
,"Apr., 2005","2005/04",72035,Not Applicable,Not Applicable
,"May, 2005","2005/05",70927,Not Applicable,Not Applicable
,"Jun., 2005","2005/06",64987,Not Applicable,Not Applicable
,"Jul., 2005","2005/07",65542,Not Applicable,Not Applicable
,"Aug., 2005","2005/08",64760,Not Applicable,Not Applicable
,"Sep., 2005","2005/09",63560,Not Applicable,Not Applicable
,"Oct., 2005","2005/10",68737,Not Applicable,Not Applicable
,"Nov., 2005","2005/11",69605,Not Applicable,Not Applicable
,"Dec., 2005","2005/12",78294,Not Applicable,Not Applicable
,"Jan., 2006","2006/01",77066,Not Applicable,Not Applicable
,"Feb., 2006","2006/02",70493,Not Applicable,Not Applicable
,"Mar., 2006","2006/03",76602,Not Applicable,Not Applicable
,"Apr., 2006","2006/04",69894,Not Applicable,Not Applicable
,"May, 2006","2006/05",68348,Not Applicable,Not Applicable
,"Jun., 2006","2006/06",63115,Not Applicable,Not Applicable
,"Jul., 2006","2006/07",65392,Not Applicable,Not Applicable
,"Aug., 2006","2006/08",63730,Not Applicable,Not Applicable
,"Sep., 2006","2006/09",62678,Not Applicable,Not Applicable
,"Oct., 2006","2006/10",68355,Not Applicable,Not Applicable
,"Nov., 2006","2006/11",67911,Not Applicable,Not Applicable
,"Dec., 2006","2006/12",74157,Not Applicable,Not Applicable
,"Jan., 2007","2007/01",76110,Not Applicable,Not Applicable
,"Feb., 2007","2007/02",70674,Not Applicable,Not Applicable
,"Mar., 2007","2007/03",73891,Not Applicable,Not Applicable
,"Apr., 2007","2007/04",68865,Not Applicable,Not Applicable
,"May, 2007","2007/05",66672,Not Applicable,Not Applicable
,"Jun., 2007","2007/06",62167,Not Applicable,Not Applicable
,"Jul., 2007","2007/07",62597,Not Applicable,Not Applicable
,"Aug., 2007","2007/08",61909,Not Applicable,Not Applicable
,"Sep., 2007","2007/09",61532,Not Applicable,Not Applicable
,"Oct., 2007","2007/10",65661,Not Applicable,Not Applicable
,"Nov., 2007","2007/11",66826,Not Applicable,Not Applicable
,"Dec., 2007","2007/12",73353,Not Applicable,Not Applicable
,"Jan., 2008","2008/01",75045,Not Applicable,Not Applicable
,"Feb., 2008","2008/02",75002,Not Applicable,Not Applicable
,"Mar., 2008","2008/03",77228,Not Applicable,Not Applicable
,"Apr., 2008","2008/04",67424,Not Applicable,Not Applicable
,"May, 2008","2008/05",66077,Not Applicable,Not Applicable
,"Jun., 2008","2008/06",61679,Not Applicable,Not Applicable
,"Jul., 2008","2008/07",61505,Not Applicable,Not Applicable
,"Aug., 2008","2008/08",61110,Not Applicable,Not Applicable
,"Sep., 2008","2008/09",59746,Not Applicable,Not Applicable
,"Oct., 2008","2008/10",64940,Not Applicable,Not Applicable
,"Nov., 2008","2008/11",65888,Not Applicable,Not Applicable
,"Dec., 2008","2008/12",72881,Not Applicable,Not Applicable
,"Jan., 2009","2009/01",73820,Not Applicable,Not Applicable
,"Feb., 2009","2009/02",66157,Not Applicable,Not Applicable
,"Mar., 2009","2009/03",70356,Not Applicable,Not Applicable
,"Apr., 2009","2009/04",65726,Not Applicable,Not Applicable
,"May, 2009","2009/05",64920,Not Applicable,Not Applicable
,"Jun., 2009","2009/06",60774,Not Applicable,Not Applicable
,"Jul., 2009","2009/07",61658,Not Applicable,Not Applicable
,"Aug., 2009","2009/08",60300,Not Applicable,Not Applicable
,"Sep., 2009","2009/09",59770,Not Applicable,Not Applicable
,"Oct., 2009","2009/10",65631,Not Applicable,Not Applicable
,"Nov., 2009","2009/11",64129,Not Applicable,Not Applicable
,"Dec., 2009","2009/12",71501,Not Applicable,Not Applicable
,"Jan., 2010","2010/01",72388,Not Applicable,Not Applicable
,"Feb., 2010","2010/02",65627,Not Applicable,Not Applicable
,"Mar., 2010","2010/03",70418,Not Applicable,Not Applicable
,"Apr., 2010","2010/04",64419,Not Applicable,Not Applicable
,"May, 2010","2010/05",64821,Not Applicable,Not Applicable
,"Jun., 2010","2010/06",60599,Not Applicable,Not Applicable
,"Jul., 2010","2010/07",61758,Not Applicable,Not Applicable
,"Aug., 2010","2010/08",60757,Not Applicable,Not Applicable
,"Sep., 2010","2010/09",60405,Not Applicable,Not Applicable
,"Oct., 2010","2010/10",64949,Not Applicable,Not Applicable
,"Nov., 2010","2010/11",65284,Not Applicable,Not Applicable
,"Dec., 2010","2010/12",73029,Not Applicable,Not Applicable
,"Jan., 2011","2011/01",75110,Not Applicable,Not Applicable
,"Feb., 2011","2011/02",67396,Not Applicable,Not Applicable
,"Mar., 2011","2011/03",70650,Not Applicable,Not Applicable
,"Apr., 2011","2011/04",65184,Not Applicable,Not Applicable
,"May, 2011","2011/05",64748,Not Applicable,Not Applicable
,"Jun., 2011","2011/06",60725,Not Applicable,Not Applicable
,"Jul., 2011","2011/07",62055,Not Applicable,Not Applicable
,"Aug., 2011","2011/08",61257,Not Applicable,Not Applicable
,"Sep., 2011","2011/09",59407,Not Applicable,Not Applicable
,"Oct., 2011","2011/10",63859,Not Applicable,Not Applicable
,"Nov., 2011","2011/11",64090,Not Applicable,Not Applicable
,"Dec., 2011","2011/12",68994,Not Applicable,Not Applicable
,"Jan., 2012","2012/01",71206,Not Applicable,Not Applicable
,"Feb., 2012","2012/02",65606,Not Applicable,Not Applicable
,"Mar., 2012","2012/03",69013,Not Applicable,Not Applicable
,"Apr., 2012","2012/04",65247,Not Applicable,Not Applicable
,"May, 2012","2012/05",64242,Not Applicable,Not Applicable
,"Jun., 2012","2012/06",60564,Not Applicable,Not Applicable
,"Jul., 2012","2012/07",62025,Not Applicable,Not Applicable
,"Aug., 2012","2012/08",61777,Not Applicable,Not Applicable
,"Sep., 2012","2012/09",60852,Not Applicable,Not Applicable
,"Oct., 2012","2012/10",65659,Not Applicable,Not Applicable
,"Nov., 2012","2012/11",67119,Not Applicable,Not Applicable
,"Dec., 2012","2012/12",74121,Not Applicable,Not Applicable
,"Jan., 2013","2013/01",81355,Not Applicable,Not Applicable
,"Feb., 2013","2013/02",68296,Not Applicable,Not Applicable
,"Mar., 2013","2013/03",72579,Not Applicable,Not Applicable
,"Apr., 2013","2013/04",65807,Not Applicable,Not Applicable
,"May, 2013","2013/05",64526,Not Applicable,Not Applicable
,"Jun., 2013","2013/06",60931,Not Applicable,Not Applicable
,"Jul., 2013","2013/07",62307,Not Applicable,Not Applicable
,"Aug., 2013","2013/08",61755,Not Applicable,Not Applicable
,"Sep., 2013","2013/09",60214,Not Applicable,Not Applicable
,"Oct., 2013","2013/10",64877,Not Applicable,Not Applicable
,"Nov., 2013","2013/11",65798,Not Applicable,Not Applicable
,"Dec., 2013","2013/12",72492,Not Applicable,Not Applicable
