"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 2018","2018/01",88400,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",72503,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",77047,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",71915,Not Applicable,Not Applicable
,"May, 2018","2018/05",70352,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",66871,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",68050,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",67333,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",65407,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",71078,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",72229,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",77477,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",80196,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",72391,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",79033,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",72627,Not Applicable,Not Applicable
,"May, 2019","2019/05",72731,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",68381,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",69406,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",68304,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",66931,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",71902,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",73464,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",79247,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",81030,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",75127,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",79696,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",82035,Not Applicable,Not Applicable
,"May, 2020","2020/05",74941,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",71180,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",75879,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",75044,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",72164,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",76303,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",78008,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",87334,Not Applicable,Not Applicable
,"Jan., 2021","2021/01",87254,Not Applicable,Not Applicable
,"Feb., 2021","2021/02",75188,Not Applicable,Not Applicable
,"Mar., 2021","2021/03",77452,Not Applicable,Not Applicable
,"Apr., 2021","2021/04",73819,Not Applicable,Not Applicable
,"May, 2021","2021/05",74198,Not Applicable,Not Applicable
,"Jun., 2021","2021/06",71543,Not Applicable,Not Applicable
,"Jul., 2021","2021/07",74032,Not Applicable,Not Applicable
,"Aug., 2021","2021/08",77671,Not Applicable,Not Applicable
,"Sep., 2021","2021/09",75790,Not Applicable,Not Applicable
,"Oct., 2021","2021/10",78796,Not Applicable,Not Applicable
,"Nov., 2021","2021/11",79391,Not Applicable,Not Applicable
