date,Trauma
2016-01-01,10.35
2016-01-02,11.18
2016-01-03,13.46
2016-01-04,15.12
2016-01-05,17.19
2016-01-06,16.77
2016-01-07,16.36
2016-01-08,17.19
2016-01-09,12.63
2016-01-10,13.05
2016-01-11,16.57
2016-01-12,17.19
2016-01-13,18.22
2016-01-14,15.32
2016-01-15,15.53
2016-01-16,13.87
2016-01-17,13.67
2016-01-18,15.53
2016-01-19,16.98
2016-01-20,17.6
2016-01-21,16.77
2016-01-22,16.36
2016-01-23,13.82
2016-01-24,13.6
2016-01-25,17.49
2016-01-26,18.35
2016-01-27,18.78
2016-01-28,18.78
2016-01-29,16.41
2016-01-30,14.03
2016-01-31,15.76
2016-02-01,17.7
2016-02-02,17.92
2016-02-03,18.13
2016-02-04,17.27
2016-02-05,20.72
2016-02-06,15.11
2016-02-07,15.11
2016-02-08,16.62
2016-02-09,18.35
2016-02-10,17.49
2016-02-11,18.13
2016-02-12,17.92
2016-02-13,14.46
2016-02-14,13.6
2016-02-15,16.84
2016-02-16,17.7
2016-02-17,19.64
2016-02-18,19.86
2016-02-19,15.97
2016-02-20,14.25
2016-02-21,15.11
2016-02-22,18.13
2016-02-23,17.92
2016-02-24,17.92
2016-02-25,18.35
2016-02-26,17.27
2016-02-27,14.25
2016-02-28,15.54
2016-02-29,17.05
2016-03-01,20.72
2016-03-02,19.86
2016-03-03,20.72
2016-03-04,17.27
2016-03-05,14.68
2016-03-06,15.11
2016-03-07,17.05
2016-03-08,17.92
2016-03-09,17.92
2016-03-10,16.62
2016-03-11,17.27
2016-03-12,14.68
2016-03-13,13.6
2016-03-14,17.92
2016-03-15,17.27
2016-03-16,18.13
2016-03-17,17.49
2016-03-18,17.05
2016-03-19,13.6
2016-03-20,14.03
2016-03-21,18.35
2016-03-22,18.56
2016-03-23,17.05
2016-03-24,18.13
2016-03-25,16.19
2016-03-26,14.03
2016-03-27,12.3
2016-03-28,17.7
2016-03-29,18.56
2016-03-30,19.0
2016-03-31,18.13
2016-04-01,16.41
2016-04-02,14.25
2016-04-03,15.76
2016-04-04,18.13
2016-04-05,19.21
2016-04-06,19.64
2016-04-07,17.7
2016-04-08,17.05
2016-04-09,14.25
2016-04-10,14.68
2016-04-11,20.29
2016-04-12,20.29
2016-04-13,19.43
2016-04-14,20.94
2016-04-15,17.92
2016-04-16,15.33
2016-04-17,14.68
2016-04-18,18.56
2016-04-19,20.08
2016-04-20,19.86
2016-04-21,18.13
2016-04-22,17.27
2016-04-23,15.54
2016-04-24,15.11
2016-04-25,18.56
2016-04-26,18.13
2016-04-27,17.49
2016-04-28,17.7
2016-04-29,16.84
2016-04-30,15.11
2016-05-01,14.03
2016-05-02,18.35
2016-05-03,19.43
2016-05-04,17.7
2016-05-05,17.7
2016-05-06,16.84
2016-05-07,13.38
2016-05-08,12.52
2016-05-09,18.35
2016-05-10,20.94
2016-05-11,18.13
2016-05-12,17.92
2016-05-13,16.84
2016-05-14,13.17
2016-05-15,14.46
2016-05-16,17.7
2016-05-17,18.35
2016-05-18,18.13
2016-05-19,19.0
2016-05-20,16.41
2016-05-21,14.03
2016-05-22,12.95
2016-05-23,17.27
2016-05-24,18.13
2016-05-25,16.84
2016-05-26,16.41
2016-05-27,15.33
2016-05-28,13.38
2016-05-29,13.82
2016-05-30,13.17
2016-05-31,17.05
2016-06-01,18.56
2016-06-02,16.84
2016-06-03,15.76
2016-06-04,14.46
2016-06-05,13.6
2016-06-06,16.41
2016-06-07,17.27
2016-06-08,17.92
2016-06-09,18.13
2016-06-10,16.41
2016-06-11,14.25
2016-06-12,18.35
2016-06-13,18.78
2016-06-14,21.59
2016-06-15,19.64
2016-06-16,17.49
2016-06-17,16.62
2016-06-18,14.68
2016-06-19,13.17
2016-06-20,17.27
2016-06-21,19.56
2016-06-22,18.06
2016-06-23,17.63
2016-06-24,16.34
2016-06-25,13.76
2016-06-26,13.97
2016-06-27,16.12
2016-06-28,18.06
2016-06-29,17.84
2016-06-30,17.41
2016-07-01,15.05
